DSSTox_Substance_Id,DSSTox_Structure_Id,DSSTox_QC-Level,name,casn,Substance_Type,Substance_Note,SMILES,InChI,InChIKey,formula,MolWt
DTXSID1020019,DTXCID9019,DSSTox_Low,4-Acetylaminofluorene,28322-02-3,Single Compound,,CC(=O)NC1=C2C(CC3=C2C=CC=C3)=CC=C1,"InChI=1S/C15H13NO/c1-10(17)16-14-8-4-6-12-9-11-5-2-3-7-13(11)15(12)14/h2-8H,9H2,1H3,(H,16,17)
AuxInfo=1/1/N:16,5,6,11,4,10,7,12,8,15,3,9,2,13,1,14,17/rA:17CCCCCCCCCCCCCNCCO/rB:s1;d2;s3;d4;s5;s2d6;s3;s1s8;d9;s10;d11;d1s12;s13;s14;s15;d15;/rC:2.6657,-4.6171,0;3.8116,-5.6551,0;3.1887,-7.0586,0;4.0939,-8.3042,0;5.6219,-8.1464,0;6.2531,-6.7348,0;5.3478,-5.4889,0;1.6525,-6.9008,0;1.3369,-5.3893,0;0,-4.6171,0;0,-3.0807,0;1.3369,-2.3086,0;2.6657,-3.0807,0;4.0025,-2.3086,0;4.0025,-.7724,0;2.6657,0,0;5.3311,0,0;
",PHPWISAFHNEMSR-UHFFFAOYSA-N,C15H13NO,223.2698
DTXSID0020020,DTXCID2020,DSSTox_Low,4-Acetylaminophenylacetic acid,18699-02-0,Single Compound,,CC(=O)NC1=CC=C(CC(O)=O)C=C1,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)
AuxInfo=1/1/N:13,2,3,4,5,7,12,1,6,8,11,14,9,10/E:(2,3)(4,5)(13,14)/rA:14CCCCCCCCOONCCO/rB:s1;d1;d2;s3;s4d5;s1;s7;d8;s8;s6;s11;s12;d12;/rC:6.7077,-.786,0;6.7077,-2.3148,0;5.3834,0,0;5.3834,-3.1008,0;4.0591,-.786,0;4.0591,-2.3148,0;8.0752,0,0;9.421,-.7645,0;10.7669,0,0;9.421,-2.3148,0;2.6917,-3.1008,0;1.3459,-2.3148,0;0,-3.1008,0;1.3459,-.7645,0;
",MROJXXOCABQVEF-UHFFFAOYSA-N,C10H11NO3,193.1992
DTXSID5020021,DTXCID4021,DSSTox_Low,N-Acetyl-L-cysteine,616-91-1,Single Compound,,CC(=O)N[C@@H](CS)C(O)=O,"InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1
AuxInfo=1/1/N:10,9,4,1,2,3,6,5,7,8/E:(8,9)/it:im/rA:10C.oCNCOOOSCC/rB:s1;P1;s3;d2;d4;s2;;s1s8;s4;/rC:2.6763,-2.3002,0;4.0146,-1.5417,0;2.6763,-3.848,0;4.0146,-4.625,0;4.0146,0,0;4.0146,-6.1667,0;5.3466,-2.3002,0;0,-2.3002,0;1.3567,-1.5417,0;5.3466,-3.848,0;
",PWKSKIMOESPYIA-BYPYZUCNSA-N,C5H9NO3S,163.1949
DTXSID0020022,DTXCID6022,DSSTox_Low,Acifluorfen,50594-66-6,Single Compound,,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)
AuxInfo=1/1/N:13,7,6,12,15,9,14,8,4,16,5,11,2,18,17,19,20,21,22,1,3,23,24,10/E:(16,17,18)(20,21)(22,23)/CRV:19.5/rA:24OCOCCCCCCOCCCCCCClCFFFN+OO-/rB:s1;d2;s2;d4;s5;d6;s7;s4d8;s8;s10;d11;s12;d13;s14;s11d15;s16;s14;s18;s18;s18;s5;d22;s22;/rC:13.3225,-2.3048,0;11.9901,-1.5454,0;11.9901,0,0;10.6579,-2.3048,0;10.6579,-3.8502,0;9.3257,-4.6228,0;7.9933,-3.8502,0;7.9933,-2.3048,0;9.3257,-1.5454,0;6.6612,-1.5454,0;5.3289,-2.3048,0;5.3289,-3.8502,0;3.9968,-4.6228,0;2.6644,-3.8502,0;2.6644,-2.3048,0;3.9968,-1.5454,0;3.9968,0,0;1.3324,-4.6228,0;.5595,-3.2906,0;2.105,-5.955,0;0,-5.3821,0;11.9901,-4.6228,0;11.9901,-6.1551,0;13.3225,-3.8502,0;
",NUFNQYOELLVIPL-UHFFFAOYSA-N,C14H7ClF3NO5,361.6573
DTXSID5020023,DTXCID8023,DSSTox_Low,Acrolein,107-02-8,Single Compound,,C=CC=O,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2
AuxInfo=1/0/N:1,2,3,4/rA:4CCCO/rB:d1;s2;d3;/rC:;1.334,-.7692,0;2.6719,0,0;4.0061,-.7692,0;
",HGINCPLSRVDWNT-UHFFFAOYSA-N,C3H4O,56.0633
DTXSID0020024,DTXCID0024,DSSTox_Low,Acrolein diethylacetal,3054-95-3,Single Compound,,CCOC(OCC)C=C,"InChI=1S/C7H14O2/c1-4-7(8-5-2)9-6-3/h4,7H,1,5-6H2,2-3H3
AuxInfo=1/0/N:1,6,9,2,5,8,3,4,7/E:(2,3)(5,6)(8,9)/rA:9CCCOCCOCC/rB:d1;s2;s3;s4;s5;s3;s7;s8;/rC:0,-2.3114,0;1.3345,-3.08,0;2.669,-2.3114,0;2.669,-.7686,0;1.3345,0,0;0,-.7686,0;4.0035,-3.08,0;5.3379,-2.3114,0;5.3379,-.7686,0;
",MCIPQLOKVXSHTD-UHFFFAOYSA-N,C7H14O2,130.1849
DTXSID5020025,DTXCID2025,DSSTox_Low,Acrolein oxime,5314-33-0,Single Compound,,O\N=C\C=C,"InChI=1S/C3H5NO/c1-2-3-4-5/h2-3,5H,1H2/b4-3+
AuxInfo=1/0/N:1,2,3,4,5/rA:5CCCNO/rB:d1;s2;d+3;s4;/rC:5.3381,-.7686,0;4.0036,0,0;2.6691,-.7686,0;1.3346,0,0;0,-.7686,0;
",KMNIXISXZFPRDC-ONEGZZNKSA-N,C3H5NO,71.0779
DTXSID0020026,DTXCID4026,DSSTox_Low,Acronycine,7008-42-6,Single Compound,,COC1=CC2=C(C=CC(C)(C)O2)C2=C1C(=O)C1=C(C=CC=C1)N2C,"InChI=1S/C20H19NO3/c1-20(2)10-9-13-15(24-20)11-16(23-4)17-18(13)21(3)14-8-6-5-7-12(14)19(17)22/h5-11H,1-4H3
AuxInfo=1/0/N:15,16,1,7,22,21,23,20,11,12,8,18,10,19,9,5,4,3,17,13,2,24,6,14/E:(1,2)/rA:24CNCCCOCCCCCCCOCCCCCCCCCO/rB:s1;s2;d3;s4;s5;s6;d5;s8;s3d9;s10;d11;s12;s9s13;s13;s13;s4;s17;s2d18;s19;d20;s21;s18d22;d17;/rC:8.0043,-5.7989,0;6.6721,-6.5714,0;5.3399,-5.7989,0;4.0076,-6.5714,0;2.6643,-5.7989,0;1.3322,-6.5714,0;0,-5.7989,0;2.6643,-4.2652,0;4.0076,-3.4928,0;5.3399,-4.2652,0;6.6721,-3.4928,0;6.6721,-1.9479,0;5.3399,-1.1755,0;4.0076,-1.9479,0;4.3436,0,0;6.3251,0,0;4.0076,-8.1163,0;5.3399,-8.8887,0;6.6721,-8.1163,0;8.0043,-8.8887,0;8.0043,-10.4222,0;6.6721,-11.1948,0;5.3399,-10.4222,0;2.6643,-8.8887,0;
",SMPZPKRDRQOOHT-UHFFFAOYSA-N,C20H19NO3,321.3698
DTXSID5020027,DTXCID6027,DSSTox_Low,Acrylamide,79-06-1,Single Compound,,NC(=O)C=C,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)
AuxInfo=1/1/N:5,4,2,1,3/rA:5NCOCC/rB:s1;d2;s2;d4;/rC:4.0032,-2.3098,0;2.6701,-1.5412,0;2.6701,0,0;1.3331,-2.3098,0;0,-1.5412,0;
",HRPVXLWXLXDGHG-UHFFFAOYSA-N,C3H5NO,71.0779
DTXSID5020029,DTXCID0029,DSSTox_Low,Acrylonitrile,107-13-1,Single Compound,,C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2
AuxInfo=1/0/N:1,2,3,4/rA:4CCCN/rB:d1;s2;t3;/rC:;.77,-1.3321,0;2.31,-1.3321,0;3.85,-1.3321,0;
",NLHHRLWOUZZQLW-UHFFFAOYSA-N,C3H3N,53.0626
DTXSID4020030,,DSSTox_Low,Actinomycin C,8052-16-2,Mixture/Formulation,,,,,,\N
DTXSID9020031,DTXCID5031,DSSTox_Low,Actinomycin D,50-76-0,Single Compound,,CC(C)[C@H]1NC(=O)[C@@H](NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(N)=C4C(=O)N[C@H]2[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]3CCCN3C(=O)[C@H](NC2=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O,"InChI=1S/C62H86N12O16/c1-27(2)42-59(84)73-23-17-19-36(73)57(82)69(13)25-38(75)71(15)48(29(5)6)61(86)88-33(11)44(55(80)65-42)67-53(78)35-22-21-31(9)51-46(35)64-47-40(41(63)50(77)32(10)52(47)90-51)54(79)68-45-34(12)89-62(87)49(30(7)8)72(16)39(76)26-70(14)58(83)37-20-18-24-74(37)60(85)43(28(3)4)66-56(45)81/h21-22,27-30,33-34,36-37,42-45,48-49H,17-20,23-26,63H2,1-16H3,(H,65,80)(H,66,81)(H,67,78)(H,68,79)/t33-,34-,36+,37+,42-,43-,44+,45+,48+,49+/m1/s1
AuxInfo=1/1/N:76,77,43,44,89,90,56,57,22,12,63,30,82,49,86,53,74,41,75,42,21,20,72,39,81,48,68,35,88,55,17,6,60,27,16,73,40,83,50,3,8,67,34,58,25,9,1,87,54,11,10,2,19,7,59,26,78,45,69,36,65,32,15,4,61,28,23,13,80,47,85,52,70,37,84,51,18,24,14,62,29,79,46,71,38,66,33,64,31,5/E:(1,2)(3,4)(5,6)(7,8)/it:im/rA:90CCCNOCCCCCCCNONCCOCCCCNOC.eCC.oNOCOCOC.eCCNOCC.oCCCCCONCCCONCC.oCCCC.eCC.oNOCOCOC.eCCNOCC.oCCCCCONCCCONCC.oCCC/rB:s1;s1;d1;s2;d2;s3;d3;s4;s5s9;s6s8;s6;s7;d7;s8;d9;d10;d11;s16;s16;s17d20;s17;s19;d19;n13;s25;s25;s26;d26;P27;s27;s31;d32;s28;N34;s34;s36;d36;s37;s37;s39;P40s41;s35;s35;s40;d45;s45;s47;s47;s48;d50;s50;s52;s32s52;P54;s55;s55;p23;s58;s58;s59;d59;N60;s60;s64;d65;s61;P67;s67;s69;d69;s70;s70;s72;N73s74;s68;s68;s73;d78;s78;s80;s80;s81;d83;s83;s85;s65s85;N87;s88;s88;/rC:14.7932,-14.6588,0;14.7932,-16.1919,0;16.1111,-13.9056,0;13.4484,-13.9056,0;13.4484,-16.9719,0;16.1111,-16.9719,0;16.1111,-12.3726,0;17.456,-14.6588,0;12.1305,-14.6588,0;12.1305,-16.1919,0;17.456,-16.1919,0;16.1111,-18.5051,0;17.456,-11.5925,0;14.7932,-11.5925,0;18.7739,-13.9056,0;10.7857,-13.9056,0;10.7857,-16.9719,0;18.7739,-16.9719,0;10.7857,-12.3726,0;9.4677,-14.6588,0;9.4677,-16.1919,0;10.7857,-18.5051,0;9.4677,-11.5925,0;12.1305,-11.5925,0;17.456,-9.9788,0;16.0574,-9.1718,0;18.8278,-9.1718,0;16.0574,-2.9318,0;14.6857,-9.9788,0;18.8278,-7.585,0;20.2533,-9.9519,0;21.5713,-9.1987,0;21.5713,-7.6656,0;17.3216,-2.3131,0;17.3216,-.7801,0;20.065,-3.0662,0;22.9968,-1.8827,0;20.065,-4.5994,0;23.4809,-.4034,0;24.2341,-2.7973,0;25.0141,-.4034,0;25.4983,-1.8827,0;15.9768,0,0;18.6396,0,0;24.2341,-4.5725,0;22.943,-5.3524,0;25.5789,-5.3524,0;25.5789,-6.8856,0;26.8968,-4.5725,0;24.2341,-7.6656,0;22.943,-6.8856,0;24.2341,-9.1987,0;25.5789,-9.9519,0;22.943,-9.9519,0;22.943,-11.485,0;24.2341,-12.2649,0;21.5713,-12.2649,0;9.4677,-9.9788,0;10.8663,-9.1718,0;8.096,-9.1718,0;10.8663,-2.9318,0;12.238,-9.9788,0;8.096,-7.585,0;6.6435,-9.9519,0;5.3256,-9.1987,0;5.3256,-7.6656,0;9.6021,-2.3131,0;9.6021,-.7801,0;6.8587,-3.0662,0;3.9,-1.8827,0;6.8587,-4.5994,0;3.4159,-.4034,0;2.6628,-2.7973,0;1.8827,-.4034,0;1.4255,-1.8827,0;10.9201,0,0;8.2573,0,0;2.6628,-4.5725,0;3.9807,-5.3524,0;1.318,-5.3524,0;1.318,-6.8856,0;0,-4.5725,0;2.6628,-7.6656,0;3.9807,-6.8856,0;2.6628,-9.1987,0;1.318,-9.9519,0;3.9807,-9.9519,0;3.9807,-11.485,0;2.6628,-12.2649,0;5.3256,-12.2649,0;
",RJURFGZVJUQBHK-IIXSONLDSA-N,C62H86N12O16,1255.4171
DTXSID4020032,DTXCID7032,DSSTox_Low,Adipamide,628-94-4,Single Compound,,NC(=O)CCCCC(N)=O,"InChI=1S/C6H12N2O2/c7-5(9)3-1-2-4-6(8)10/h1-4H2,(H2,7,9)(H2,8,10)
AuxInfo=1/1/N:5,6,4,7,2,8,1,10,3,9/E:(1,2)(3,4)(5,6)(7,8)(9,10)/gE:(1,2)/rA:10NCOCCCCCON/rB:s1;d2;s2;s4;s5;s6;s7;d8;s8;/rC:9.3424,-2.3076,0;8.0064,-1.5415,0;8.0064,0,0;6.6705,-2.3076,0;5.3345,-1.5415,0;4.0079,-2.3076,0;2.6719,-1.5415,0;1.336,-2.3076,0;1.336,-3.8491,0;0,-1.5415,0;
",GVNWZKBFMFUVNX-UHFFFAOYSA-N,C6H12N2O2,144.1717
DTXSID9020033,DTXCID9033,DSSTox_High,AF-2,3688-53-7,Single Compound,,NC(=O)C(=C/C1=CC=C(O1)[N+]([O-])=O)\C1=CC=CO1,"InChI=1S/C11H8N2O5/c12-11(14)8(9-2-1-5-17-9)6-7-3-4-10(18-7)13(15)16/h1-6H,(H2,12,14)/b8-6-
AuxInfo=1/1/N:9,10,15,14,7,3,13,2,8,12,1,5,16,4,17,18,6,11/E:(15,16)/CRV:13.5/rA:18CCCONOCCCCOCCCCN+O-O/rB:s1;d-2;d1;s1;;s6;s2s6;d7;d8s9;;s11;s3s11;d12;d13s14;s12;s16;d16;/rC:3.7533,-4.1419,0;3.7533,-2.6079,0;5.0828,-1.8307,0;5.0828,-4.8987,0;2.4442,-4.8987,0;2.2704,-.3068,0;.7772,0,0;2.4442,-1.8307,0;0,-1.3295,0;1.0329,-2.4545,0;6.5861,-4.1419,0;8.0793,-4.4487,0;6.4123,-2.6079,0;8.8565,-3.1192,0;7.8236,-1.9738,0;8.7133,-5.86,0;7.8031,-7.0975,0;10.2269,-6.0032,0;
",LYAHJFZLDZDIOH-VURMDHGXSA-N,C11H8N2O5,248.1916
DTXSID4020034,DTXCID1034,DSSTox_Low,Aflatoxicol,29611-03-8,Single Compound,,COC1=CC2=C([C@@H]3C=CO[C@H]3O2)C2=C1C1=C([C@H](O)CC1)C(=O)O2,"InChI=1S/C17H14O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8-9,17-18H,2-3H2,1H3/t8-,9+,17-/m0/s1
AuxInfo=1/0/N:23,12,11,19,20,14,4,18,9,13,15,5,3,1,2,6,17,10,8,22,21,16,7/it:im/rA:23CCCCCCOOC.eOCCCCCOC.oC.oCCOOC/rB:s1;d2;s3;d4;s5;s2s6;d6;s5;N9;s9;s4s11;s3;d13;d1s14;s15;n16;s1s17;P18;d19;s17s20;s13;s22;/rC:6.6503,-5.3863,0;5.3162,-4.6141,0;5.3162,-3.0793,0;3.982,-2.307,0;2.6481,-3.0793,0;2.6481,-4.6141,0;3.982,-5.3863,0;1.314,-5.3863,0;1.5046,-2.0462,0;0,-2.3672,0;2.1366,-.6419,0;3.6611,-.8025,0;6.6503,-2.307,0;7.9844,-3.0793,0;7.9844,-4.6141,0;9.1278,-5.6471,0;8.4957,-7.0515,0;6.9712,-6.891,0;6.3394,-8.2952,0;7.4828,-9.3283,0;8.8168,-8.556,0;6.6503,-.7724,0;7.9844,0,0;
",WYIWLDSPNDMZIT-BTKFHORUSA-N,C17H14O6,314.2895
